Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"CPU_SPI0_CLK","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","U23.16","970","160","3D","4"
"CPU_SPI0_CLK","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.147","430","410","4C","14"
"USB_DRVVBUS1","OffPage","03_CONNECTOR1","3","ITR-201C_MB","CON1A.82","1360","580","1B","15"
"USB_DRVVBUS1","OffPage","15_OTHERS","15","ITR-201C_MB","R171.1","800","230","3D","3"
"CPU_SPI0_MOSI","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","U23.15","970","170","3D","4"
"CPU_SPI0_MOSI","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.153","430","440","4C","14"
"CPU_I2C2_SCL","OffPage","15_OTHERS","15","ITR-201C_MB","U27.5","1500","550","1C","4"
"CPU_I2C2_SCL","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.156,R9.2","1080","450","2C","15"
"CPLD_LCD_nRST","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","U23.18","970","140","3D","6"
"CPLD_LCD_nRST","OffPage","06_CPLD","6","ITR-201C_MB","U3.98","1230","380","2C","14"
"LCD_HSYNC","OffPage","03_CONNECTOR1","3","ITR-201C_MB","CON1A.24","1440","290","1C","7"
"LCD_HSYNC","OffPage","07_LVDS","7","ITR-201C_MB","RN9.1","180","630","5B","3"
"IO_LED_RUN","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","U22.18","380","140","4D","6"
"IO_LED_RUN","OffPage","06_CPLD","6","ITR-201C_MB","U3.108","1230","280","2C","14"
"GPMC_OEn","OffPage","03_CONNECTOR1","3","ITR-201C_MB","CON1A.35","270","350","5C","6"
"GPMC_OEn","OffPage","06_CPLD","6","ITR-201C_MB","U3.143","260","150","5D","3"
"GPMC_nCS1","OffPage","03_CONNECTOR1","3","ITR-201C_MB","CON1A.32","1440","330","1C","6"
"GPMC_nCS1","OffPage","06_CPLD","6","ITR-201C_MB","U3.139","260","110","5D","3"
"IRQ_CPLD2","OffPage","06_CPLD","6","ITR-201C_MB","U3.39","270","760","5B","4"
"IRQ_CPLD2","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.136","1080","350","2C","6"
"LCD_PCLK","OffPage","03_CONNECTOR1","3","ITR-201C_MB","CON1A.25","270","300","5C","7"
"LCD_PCLK","OffPage","07_LVDS","7","ITR-201C_MB","RN9.4","180","660","5B","3"
"USB_DP0","OffPage","03_CONNECTOR1","3","ITR-201C_MB","CON1A.87","540","610","4B","15"
